Datetime,Latitude,Longitude,Elevation,Pressure,Speed,Bearing
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,7.2,400,115.1,278
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,9.2,300,189.2,284
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,10.4,250,177.0,286
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,11.8,200,142.4,286
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,13.5,150,111.6,282
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,15.8,100,126.6,283
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,17.7,70,145.2,285
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,19.3,50,139.3,290
2025-03-09 00:00:00,73.76746565972681,-33.17972708297436,22.0,30,108.9,297
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,0.11,1000,19.5,240
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,0.32,975,19.6,240
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,0.5,950,19.6,240
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,0.8,925,19.5,240
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,1.0,900,19.3,240
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,1.5,850,19.4,240
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,1.9,800,19.5,241
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,3.0,700,19.2,241
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,4.2,600,30.3,232
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,5.6,500,58.9,266
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,7.2,400,119.8,277
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,9.2,300,197.0,284
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,10.4,250,183.5,286
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,11.8,200,143.9,286
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,13.5,150,111.3,281
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,15.8,100,126.6,283
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,17.7,70,145.2,285
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,19.3,50,140.1,290
2025-03-09 00:00:00,73.68218482081221,-33.632861668541146,22.0,30,110.0,297
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,0.11,1000,19.4,227
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,0.32,975,19.4,226
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,0.5,950,19.4,226
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,0.8,925,19.3,227
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,1.0,900,19.5,227
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,1.5,850,19.7,226
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,1.9,800,19.4,226
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,3.0,700,19.8,226
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,4.2,600,37.7,243
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,5.6,500,69.6,270
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,7.2,400,141.3,276
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,9.2,300,217.8,285
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,10.4,250,215.6,288
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,11.8,200,147.4,286
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,13.5,150,114.4,280
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,15.8,100,126.6,283
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,17.7,70,143.8,285
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,19.3,50,136.7,290
2025-03-09 01:00:00,73.60137728453297,-33.96490614745897,22.0,30,107.9,296
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,0.11,1000,19.4,227
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,0.32,975,19.4,226
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,0.5,950,19.4,226
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,0.8,925,19.3,227
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,1.0,900,19.5,227
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,1.5,850,19.7,226
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,1.9,800,19.4,226
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,3.0,700,19.8,226
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,4.2,600,37.7,243
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,5.6,500,69.6,270
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,7.2,400,141.3,276
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,9.2,300,217.8,285
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,10.4,250,215.6,288
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,11.8,200,147.4,286
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,13.5,150,114.4,280
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,15.8,100,126.6,283
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,17.7,70,143.8,285
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,19.3,50,136.7,290
2025-03-09 01:00:00,73.60508330279352,-33.91037257242472,22.0,30,107.9,296
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,0.11,1000,20.7,219
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,0.32,975,20.7,219
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,0.5,950,20.6,220
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,0.8,925,20.9,220
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,1.0,900,20.5,219
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,1.5,850,20.7,220
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,1.9,800,20.6,219
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,3.0,700,20.7,219
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,4.2,600,42.9,246
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,5.6,500,73.2,269
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,7.2,400,149.1,274
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,9.2,300,222.4,285
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,10.4,250,226.6,288
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,11.8,200,150.2,285
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,13.5,150,114.2,279
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,15.8,100,126.4,282
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,17.7,70,144.4,283
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,19.3,50,138.1,289
2025-03-09 01:00:00,73.51306012322542,-34.38950867760802,22.0,30,107.9,296
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,0.11,1000,20.4,212
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,0.32,975,20.3,212
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,0.5,950,20.2,212
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,0.8,925,20.4,212
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,1.0,900,20.3,212
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,1.5,850,20.5,212
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,1.9,800,20.2,213
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,3.0,700,20.3,211
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,4.2,600,47.1,250
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,5.6,500,85.4,274
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,7.2,400,166.2,275
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,9.2,300,236.7,286
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,10.4,250,257.3,289
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,11.8,200,162.7,285
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,13.5,150,119.4,280
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,15.8,100,125.0,282
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,17.7,70,142.9,283
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,19.3,50,134.7,289
2025-03-09 02:00:00,73.36798580246983,-34.798820586565775,22.0,30,105.8,295
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,0.11,1000,20.4,212
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,0.32,975,20.3,212
2025-03-09 02:00:00,73.369391292048,-34.79489912008786,0.5,950,20.2,212
